TxSeq,StratTime,EndTime,TimeUse
5253263,2025-03-02T00:00:01.587662Z,2025-03-02T00:00:01.587679Z,17
5253264,2025-03-02T00:00:01.587666Z,2025-03-02T00:00:01.587671Z,5
5253265,2025-03-02T00:00:01.587660Z,2025-03-02T00:00:01.587674Z,14
5253266,2025-03-02T00:00:01.587677Z,2025-03-02T00:00:01.587679Z,2
5253267,2025-03-02T00:00:01.587684Z,2025-03-02T00:00:01.587691Z,7
5253268,2025-03-02T00:00:01.587677Z,2025-03-02T00:00:01.587680Z,3
5253269,2025-03-02T00:00:01.587658Z,2025-03-02T00:00:01.587672Z,14
5253270,2025-03-02T00:00:07.894858Z,2025-03-02T00:00:07.894865Z,7
5253271,2025-03-02T00:00:07.894870Z,2025-03-02T00:00:07.894877Z,7
5253272,2025-03-02T00:00:07.894868Z,2025-03-02T00:00:07.894870Z,2
5253273,2025-03-02T00:00:07.894856Z,2025-03-02T00:00:07.894863Z,7
5253274,2025-03-02T00:00:20.013280Z,2025-03-02T00:00:20.013289Z,9
5253275,2025-03-02T00:00:20.013273Z,2025-03-02T00:00:20.013294Z,21
5253276,2025-03-02T00:00:20.013295Z,2025-03-02T00:00:20.013298Z,3
5253277,2025-03-02T00:00:20.013290Z,2025-03-02T00:00:20.013292Z,2
5253278,2025-03-02T00:00:20.013295Z,2025-03-02T00:00:20.013297Z,2
5253279,2025-03-02T00:00:20.013300Z,2025-03-02T00:00:20.013311Z,11
5253280,2025-03-02T00:00:20.013298Z,2025-03-02T00:00:20.013300Z,2
5253281,2025-03-02T00:00:20.013291Z,2025-03-02T00:00:20.013297Z,6
5253282,2025-03-02T00:00:20.013291Z,2025-03-02T00:00:20.013293Z,2
5253283,2025-03-02T00:00:20.013278Z,2025-03-02T00:00:20.013287Z,9
5253284,2025-03-02T00:00:25.602589Z,2025-03-02T00:00:25.602596Z,7
5253285,2025-03-02T00:00:25.602580Z,2025-03-02T00:00:25.602588Z,8
5253286,2025-03-02T00:00:25.602604Z,2025-03-02T00:00:25.602605Z,1
5253287,2025-03-02T00:00:25.602600Z,2025-03-02T00:00:25.602605Z,5
5253288,2025-03-02T00:00:25.602599Z,2025-03-02T00:00:25.602601Z,2
5253289,2025-03-02T00:00:25.602589Z,2025-03-02T00:00:25.602595Z,6
5253290,2025-03-02T00:00:25.602606Z,2025-03-02T00:00:25.602607Z,1
5253291,2025-03-02T00:00:25.602601Z,2025-03-02T00:00:25.602603Z,2
5253292,2025-03-02T00:00:25.602601Z,2025-03-02T00:00:25.602602Z,1
5253293,2025-03-02T00:00:25.602595Z,2025-03-02T00:00:25.602597Z,2
5253294,2025-03-02T00:00:25.602603Z,2025-03-02T00:00:25.602605Z,2
5253295,2025-03-02T00:00:25.602607Z,2025-03-02T00:00:25.602609Z,2
5253296,2025-03-02T00:00:25.602607Z,2025-03-02T00:00:25.602609Z,2
5253297,2025-03-02T00:00:25.602592Z,2025-03-02T00:00:25.602599Z,7
5253298,2025-03-02T00:00:31.831098Z,2025-03-02T00:00:31.831105Z,7
5253299,2025-03-02T00:00:31.831094Z,2025-03-02T00:00:31.831102Z,8
5253300,2025-03-02T00:00:38.032307Z,2025-03-02T00:00:38.032316Z,9
5253301,2025-03-02T00:00:38.032319Z,2025-03-02T00:00:38.032326Z,7
5253302,2025-03-02T00:00:38.032305Z,2025-03-02T00:00:38.032316Z,11
5253303,2025-03-02T00:00:43.647438Z,2025-03-02T00:00:43.647439Z,1
5253304,2025-03-02T00:00:43.647422Z,2025-03-02T00:00:43.647432Z,10
5253305,2025-03-02T00:00:43.647441Z,2025-03-02T00:00:43.647442Z,1
5253306,2025-03-02T00:00:43.647445Z,2025-03-02T00:00:43.647453Z,8
5253307,2025-03-02T00:00:43.647434Z,2025-03-02T00:00:43.647438Z,4
5253308,2025-03-02T00:00:43.647438Z,2025-03-02T00:00:43.647440Z,2
5253309,2025-03-02T00:00:43.647448Z,2025-03-02T00:00:43.647449Z,1
5253310,2025-03-02T00:00:43.647443Z,2025-03-02T00:00:43.647444Z,1
5253311,2025-03-02T00:00:43.647427Z,2025-03-02T00:00:43.647434Z,7
5253312,2025-03-02T00:00:50.004085Z,2025-03-02T00:00:50.004092Z,7
5253313,2025-03-02T00:00:50.004075Z,2025-03-02T00:00:50.004086Z,11
5253314,2025-03-02T00:00:50.004091Z,2025-03-02T00:00:50.004092Z,1
5253315,2025-03-02T00:00:50.004096Z,2025-03-02T00:00:50.004097Z,1
5253316,2025-03-02T00:00:50.004088Z,2025-03-02T00:00:50.004095Z,7
5253317,2025-03-02T00:00:50.004091Z,2025-03-02T00:00:50.004092Z,1
5253318,2025-03-02T00:00:50.004101Z,2025-03-02T00:00:50.004106Z,5
5253319,2025-03-02T00:00:50.004077Z,2025-03-02T00:00:50.004085Z,8
5253320,2025-03-02T00:00:55.586161Z,2025-03-02T00:00:55.586165Z,4
5253321,2025-03-02T00:00:55.586150Z,2025-03-02T00:00:55.586156Z,6
5253322,2025-03-02T00:00:55.586164Z,2025-03-02T00:00:55.586170Z,6
5253323,2025-03-02T00:00:55.586161Z,2025-03-02T00:00:55.586162Z,1
