TxSeq,StratTime,EndTime,TimeUse(sec)
3328632,2025-03-02T19:39:58.201365Z,2025-03-02T19:40:01.210886Z,3
4319944,2025-03-02T19:39:49.163448Z,2025-03-02T19:39:52.165465Z,3
4331154,2025-03-02T19:39:58.192108Z,2025-03-02T19:40:01.211220Z,3
4373422,2025-03-02T19:44:25.564382Z,2025-03-02T19:44:28.591255Z,3
5253263,2025-03-02T00:00:03.957938Z,2025-03-02T00:00:06.960350Z,3
5253264,2025-03-02T00:00:03.956594Z,2025-03-02T00:00:06.960069Z,3
5253266,2025-03-02T00:00:03.958788Z,2025-03-02T00:00:06.960587Z,3
5253271,2025-03-02T00:00:09.961749Z,2025-03-02T00:00:12.964714Z,3
5253298,2025-03-02T00:00:37.166727Z,2025-03-02T00:00:40.170097Z,3
5253315,2025-03-02T00:00:52.182736Z,2025-03-02T00:00:55.183880Z,3
5253320,2025-03-02T00:00:58.187386Z,2025-03-02T00:01:01.190525Z,3
5253325,2025-03-02T00:00:58.188192Z,2025-03-02T00:01:01.191083Z,3
5253326,2025-03-02T00:01:04.193480Z,2025-03-02T00:01:07.194965Z,3
5253331,2025-03-02T00:01:10.198415Z,2025-03-02T00:01:13.200468Z,3
5253332,2025-03-02T00:01:10.197695Z,2025-03-02T00:01:13.200163Z,3
5253335,2025-03-02T00:01:22.278533Z,2025-03-02T00:01:25.289158Z,3
5253343,2025-03-02T00:01:22.288191Z,2025-03-02T00:01:25.289442Z,3
5253346,2025-03-02T00:01:28.292695Z,2025-03-02T00:01:34.297503Z,6
5253361,2025-03-02T00:01:46.306476Z,2025-03-02T00:01:49.307648Z,3
5253365,2025-03-02T00:01:52.310776Z,2025-03-02T00:01:55.313174Z,3
5253368,2025-03-02T00:01:52.311310Z,2025-03-02T00:01:55.313446Z,3
5253369,2025-03-02T00:01:58.315276Z,2025-03-02T00:02:01.316912Z,3
5253370,2025-03-02T00:02:01.317153Z,2025-03-02T00:02:04.318299Z,3
5253375,2025-03-02T00:02:04.317995Z,2025-03-02T00:02:07.321306Z,3
5253380,2025-03-02T00:02:10.325052Z,2025-03-02T00:02:13.325829Z,3
5253390,2025-03-02T00:02:34.475098Z,2025-03-02T00:02:37.486305Z,3
5253392,2025-03-02T00:02:40.489606Z,2025-03-02T00:02:43.492550Z,3
5253399,2025-03-02T00:02:40.489856Z,2025-03-02T00:02:43.493565Z,3
5253404,2025-03-02T00:02:46.496207Z,2025-03-02T00:02:49.498110Z,3
5253406,2025-03-02T00:02:46.495521Z,2025-03-02T00:02:52.500286Z,6
5253408,2025-03-02T00:02:55.501817Z,2025-03-02T00:02:58.503029Z,3
5253410,2025-03-02T00:02:52.500798Z,2025-03-02T00:02:55.502070Z,3
5253435,2025-03-02T00:03:31.526457Z,2025-03-02T00:03:37.531644Z,6
5253437,2025-03-02T00:03:34.529298Z,2025-03-02T00:03:37.531407Z,3
5253447,2025-03-02T00:03:43.619506Z,2025-03-02T00:03:49.634517Z,6
5253458,2025-03-02T00:03:55.639925Z,2025-03-02T00:03:58.642841Z,3
5253470,2025-03-02T00:04:10.653566Z,2025-03-02T00:04:16.656758Z,6
5253474,2025-03-02T00:04:22.730960Z,2025-03-02T00:04:25.743627Z,3
5253485,2025-03-02T00:04:37.751678Z,2025-03-02T00:04:40.754135Z,3
5253487,2025-03-02T00:04:34.748332Z,2025-03-02T00:04:37.750475Z,3
5253495,2025-03-02T00:04:40.754406Z,2025-03-02T00:04:43.757378Z,3
5253500,2025-03-02T00:04:43.758229Z,2025-03-02T00:04:46.760086Z,3
5253510,2025-03-02T00:04:58.768829Z,2025-03-02T00:05:04.773112Z,6
5253521,2025-03-02T00:05:16.841357Z,2025-03-02T00:05:19.862182Z,3
5253529,2025-03-02T00:05:28.870807Z,2025-03-02T00:05:34.873841Z,6
5253534,2025-03-02T00:05:34.874977Z,2025-03-02T00:05:37.877498Z,3
5253536,2025-03-02T00:05:34.875168Z,2025-03-02T00:05:37.877714Z,3
5253538,2025-03-02T00:05:34.874735Z,2025-03-02T00:05:37.877275Z,3
5253539,2025-03-02T00:05:34.874526Z,2025-03-02T00:05:37.877021Z,3
5253571,2025-03-02T00:06:26.202009Z,2025-03-02T00:06:32.212029Z,6
5253575,2025-03-02T00:06:29.209339Z,2025-03-02T00:06:32.212310Z,3
5253577,2025-03-02T00:06:29.208734Z,2025-03-02T00:06:32.211761Z,3
5253589,2025-03-02T00:06:41.220906Z,2025-03-02T00:06:47.225003Z,6
5253605,2025-03-02T00:07:05.237820Z,2025-03-02T00:20:52.877369Z,827
5253633,2025-03-02T00:07:35.257599Z,2025-03-02T00:07:41.260934Z,6
5253650,2025-03-02T00:07:59.276214Z,2025-03-02T00:08:05.281739Z,6
5253651,2025-03-02T00:07:59.274583Z,2025-03-02T00:08:02.278507Z,3
5253654,2025-03-02T00:08:05.281553Z,2025-03-02T00:08:11.284592Z,6
5253674,2025-03-02T00:08:29.354224Z,2025-03-02T00:08:32.356430Z,3
5253684,2025-03-02T00:08:47.366422Z,2025-03-02T00:08:50.367821Z,3
5253772,2025-03-02T00:10:29.721639Z,2025-03-02T00:10:32.726026Z,3
5253774,2025-03-02T00:10:35.727889Z,2025-03-02T00:10:38.730279Z,3
5253778,2025-03-02T00:10:41.733004Z,2025-03-02T00:10:47.736435Z,6
5253781,2025-03-02T00:10:53.789604Z,2025-03-02T00:10:59.797804Z,6
5253798,2025-03-02T00:11:17.893332Z,2025-03-02T00:11:20.903421Z,3
5253801,2025-03-02T00:11:17.893034Z,2025-03-02T00:11:20.903139Z,3
5253857,2025-03-02T00:12:18.028156Z,2025-03-02T00:12:24.032540Z,6
5253873,2025-03-02T00:13:03.130315Z,2025-03-02T00:13:06.133439Z,3
5253874,2025-03-02T00:13:00.127496Z,2025-03-02T00:13:03.129310Z,3
5253895,2025-03-02T00:13:12.139677Z,2025-03-02T00:13:15.143379Z,3
5253898,2025-03-02T00:13:12.140660Z,2025-03-02T13:33:57.322106Z,48045
5253920,2025-03-02T00:13:48.344968Z,2025-03-02T00:13:54.350123Z,6
5253928,2025-03-02T00:13:54.349860Z,2025-03-02T00:14:00.353107Z,6
5253950,2025-03-02T00:14:36.569482Z,2025-03-02T00:14:39.570796Z,3
5253973,2025-03-02T00:14:54.664096Z,2025-03-02T00:14:57.666072Z,3
5253997,2025-03-02T00:15:28.011527Z,2025-03-02T00:15:31.012918Z,3
5254005,2025-03-02T00:15:46.022158Z,2025-03-02T00:15:49.024024Z,3
5254006,2025-03-02T00:15:46.021902Z,2025-03-02T00:15:49.023718Z,3
5254009,2025-03-02T00:15:52.025808Z,2025-03-02T00:15:55.027494Z,3
5254046,2025-03-02T00:16:34.198666Z,2025-03-02T00:16:37.200765Z,3
5254048,2025-03-02T00:16:40.202555Z,2025-03-02T00:16:46.207356Z,6
5254049,2025-03-02T00:16:40.202710Z,2025-03-02T00:16:43.204581Z,3
5254056,2025-03-02T00:16:46.207698Z,2025-03-02T00:16:49.209688Z,3
5254059,2025-03-02T00:16:58.307784Z,2025-03-02T00:17:01.309268Z,3
5254060,2025-03-02T00:16:58.307951Z,2025-03-02T00:17:01.309597Z,3
5254088,2025-03-02T00:17:46.489395Z,2025-03-02T00:17:49.491552Z,3
5254096,2025-03-02T00:17:52.494657Z,2025-03-02T00:17:55.497161Z,3
5254100,2025-03-02T00:17:52.493964Z,2025-03-02T00:17:55.496942Z,3
5254102,2025-03-02T00:17:58.502147Z,2025-03-02T00:18:01.503305Z,3
5254105,2025-03-02T00:17:58.501551Z,2025-03-02T00:18:01.502666Z,3
5254107,2025-03-02T00:17:58.501870Z,2025-03-02T00:18:01.503021Z,3
5254113,2025-03-02T00:18:04.506538Z,2025-03-02T00:18:07.509230Z,3
5254131,2025-03-02T00:18:40.530272Z,2025-03-02T00:18:43.532046Z,3
5254139,2025-03-02T00:18:46.533395Z,2025-03-02T00:18:49.535688Z,3
5254144,2025-03-02T00:18:46.534819Z,2025-03-02T00:18:49.535986Z,3
5254145,2025-03-02T00:18:52.538112Z,2025-03-02T00:18:55.539054Z,3
5254146,2025-03-02T00:19:01.610249Z,2025-03-02T00:19:04.618150Z,3
5254164,2025-03-02T00:19:22.698256Z,2025-03-02T00:19:25.705900Z,3
5254170,2025-03-02T00:19:28.707641Z,2025-03-02T00:19:31.709795Z,3
5254183,2025-03-02T00:19:34.712098Z,2025-03-02T00:19:37.714372Z,3
5254203,2025-03-02T00:20:13.809446Z,2025-03-02T00:20:19.815815Z,6
5254210,2025-03-02T00:20:16.811986Z,2025-03-02T00:20:19.814593Z,3
5254220,2025-03-02T00:20:22.818841Z,2025-03-02T00:20:25.821052Z,3
5254221,2025-03-02T00:20:28.822711Z,2025-03-02T00:20:31.823849Z,3
5254228,2025-03-02T00:20:40.829481Z,2025-03-02T00:20:43.831249Z,3
5254233,2025-03-02T00:20:46.835293Z,2025-03-02T00:20:49.837236Z,3
5254239,2025-03-02T00:20:58.916613Z,2025-03-02T00:21:01.934740Z,3
5254244,2025-03-02T00:21:04.936953Z,2025-03-02T00:21:07.938759Z,3
5254245,2025-03-02T00:21:04.937456Z,2025-03-02T00:21:07.939463Z,3
5254249,2025-03-02T00:21:10.941406Z,2025-03-02T00:21:13.943829Z,3
5254270,2025-03-02T00:21:34.960378Z,2025-03-02T00:21:37.961711Z,3
5254274,2025-03-02T00:21:34.960896Z,2025-03-02T00:21:37.963162Z,3
5254275,2025-03-02T00:21:34.960579Z,2025-03-02T00:21:37.962946Z,3
5254296,2025-03-02T00:22:11.049887Z,2025-03-02T00:22:14.053552Z,3
5254300,2025-03-02T00:22:11.049706Z,2025-03-02T00:22:14.051443Z,3
5254331,2025-03-02T00:22:53.082060Z,2025-03-02T00:22:56.083205Z,3
5254333,2025-03-02T00:23:05.170259Z,2025-03-02T00:23:08.179967Z,3
5254337,2025-03-02T00:23:05.176085Z,2025-03-02T00:23:08.179719Z,3
5254357,2025-03-02T00:23:23.281600Z,2025-03-02T00:23:26.282748Z,3
5254359,2025-03-02T00:23:35.288652Z,2025-03-02T00:23:38.291243Z,3
5254361,2025-03-02T00:23:35.290032Z,2025-03-02T00:23:38.291437Z,3
5254362,2025-03-02T00:23:35.289575Z,2025-03-02T00:23:38.290783Z,3
5254364,2025-03-02T00:23:35.289816Z,2025-03-02T00:23:38.291025Z,3
5254386,2025-03-02T00:24:05.311466Z,2025-03-02T00:24:08.313329Z,3
5254389,2025-03-02T00:24:05.311248Z,2025-03-02T00:24:08.312966Z,3
5254398,2025-03-02T00:24:23.322381Z,2025-03-02T00:24:26.323992Z,3
5254406,2025-03-02T00:24:29.326778Z,2025-03-02T00:24:32.327960Z,3
5254433,2025-03-02T00:25:11.429280Z,2025-03-02T00:25:14.431739Z,3
5254434,2025-03-02T00:25:17.434309Z,2025-03-02T00:25:20.436103Z,3
5254437,2025-03-02T00:25:20.436540Z,2025-03-02T00:25:23.438325Z,3
5254450,2025-03-02T00:25:29.445050Z,2025-03-02T00:25:32.446374Z,3
5254454,2025-03-02T00:25:29.444150Z,2025-03-02T00:25:32.446050Z,3
5254461,2025-03-02T00:25:50.530454Z,2025-03-02T00:25:53.533003Z,3
5254462,2025-03-02T00:25:50.531388Z,2025-03-02T00:25:53.533611Z,3
5254474,2025-03-02T00:26:05.543414Z,2025-03-02T00:26:08.546002Z,3
5254480,2025-03-02T00:26:14.550684Z,2025-03-02T00:26:17.553340Z,3
5254483,2025-03-02T00:26:11.548670Z,2025-03-02T00:26:14.550969Z,3
5254513,2025-03-02T00:26:23.562848Z,2025-03-02T00:26:26.566367Z,3
5254523,2025-03-02T00:26:47.644283Z,2025-03-02T00:26:50.652121Z,3
5254524,2025-03-02T00:26:47.644071Z,2025-03-02T00:26:50.651899Z,3
5254530,2025-03-02T00:27:05.742442Z,2025-03-02T00:27:08.748411Z,3
5254567,2025-03-02T00:27:41.825487Z,2025-03-02T00:27:44.827578Z,3
5254578,2025-03-02T00:27:53.835619Z,2025-03-02T00:27:56.839097Z,3
5254580,2025-03-02T00:27:53.834153Z,2025-03-02T00:27:56.838842Z,3
5254592,2025-03-02T00:28:30.079138Z,2025-03-02T00:28:33.081472Z,3
5254603,2025-03-02T00:28:36.084287Z,2025-03-02T00:28:39.087583Z,3
5254620,2025-03-02T00:28:42.090118Z,2025-03-02T00:28:45.093366Z,3
5254627,2025-03-02T00:28:42.090622Z,2025-03-02T00:28:48.095915Z,6
5254635,2025-03-02T00:29:12.185794Z,2025-03-02T00:29:18.196353Z,6
5254636,2025-03-02T00:29:12.186051Z,2025-03-02T00:29:15.194540Z,3
5254655,2025-03-02T00:29:30.204377Z,2025-03-02T00:29:36.210527Z,6
5254660,2025-03-02T00:29:30.204912Z,2025-03-02T00:29:33.207315Z,3
5254683,2025-03-02T00:30:12.233462Z,2025-03-02T00:30:15.235140Z,3
5254684,2025-03-02T00:30:15.235364Z,2025-03-02T00:30:21.242180Z,6
5254719,2025-03-02T00:31:00.411368Z,2025-03-02T00:31:06.416244Z,6
5254746,2025-03-02T00:31:24.501071Z,2025-03-02T00:31:30.504197Z,6
5254776,2025-03-02T00:32:18.604311Z,2025-03-02T00:32:21.616593Z,3
5254785,2025-03-02T00:32:18.600421Z,2025-03-02T00:32:21.616288Z,3
5254818,2025-03-02T00:33:00.646974Z,2025-03-02T00:33:03.648101Z,3
5254863,2025-03-02T00:34:00.811604Z,2025-03-02T00:34:03.821623Z,3
5254869,2025-03-02T00:34:06.823384Z,2025-03-02T00:34:12.826169Z,6
5254921,2025-03-02T00:35:13.013566Z,2025-03-02T00:35:16.015132Z,3
5254923,2025-03-02T00:35:13.012930Z,2025-03-02T00:35:16.014826Z,3
5254930,2025-03-02T00:35:25.018513Z,2025-03-02T00:35:28.020677Z,3
5254931,2025-03-02T00:35:25.019366Z,2025-03-02T00:35:31.023406Z,6
5254936,2025-03-02T00:35:31.023069Z,2025-03-02T00:35:34.029023Z,3
5254941,2025-03-02T00:35:31.024355Z,2025-03-02T00:35:37.030983Z,6
5254947,2025-03-02T00:35:37.030805Z,2025-03-02T00:35:40.031720Z,3
5254960,2025-03-02T00:35:49.039362Z,2025-03-02T00:35:52.042162Z,3
5254963,2025-03-02T00:35:55.043549Z,2025-03-02T00:36:01.045903Z,6
5254964,2025-03-02T00:36:19.142968Z,2025-03-02T00:36:22.146567Z,3
5254994,2025-03-02T00:36:37.156765Z,2025-03-02T00:36:40.159876Z,3
5255006,2025-03-02T00:36:49.166139Z,2025-03-02T00:36:55.170444Z,6
5255015,2025-03-02T00:36:55.171970Z,2025-03-02T00:36:58.173441Z,3
5255018,2025-03-02T00:37:01.175217Z,2025-03-02T00:37:04.177851Z,3
5255030,2025-03-02T00:37:13.268615Z,2025-03-02T00:37:16.271127Z,3
5255056,2025-03-02T00:37:49.367813Z,2025-03-02T00:37:52.370195Z,3
5255058,2025-03-02T00:37:49.367651Z,2025-03-02T00:37:55.372572Z,6
5255062,2025-03-02T00:37:55.373148Z,2025-03-02T00:37:58.375563Z,3
5255070,2025-03-02T00:38:01.377712Z,2025-03-02T00:38:07.380921Z,6
5255079,2025-03-02T00:38:07.382343Z,2025-03-02T00:38:10.384586Z,3
5255081,2025-03-02T00:38:13.386304Z,2025-03-02T00:38:16.388644Z,3
5255087,2025-03-02T00:38:19.390984Z,2025-03-02T00:38:25.394606Z,6
5255092,2025-03-02T00:38:31.499546Z,2025-03-02T00:38:34.508781Z,3
5255103,2025-03-02T00:38:43.515389Z,2025-03-02T00:38:46.517418Z,3
5255131,2025-03-02T00:39:13.587180Z,2025-03-02T00:39:16.594093Z,3
5255132,2025-03-02T00:39:13.578668Z,2025-03-02T00:39:16.593821Z,3
5255141,2025-03-02T00:39:25.599575Z,2025-03-02T00:39:31.603754Z,6
5255144,2025-03-02T00:39:31.604248Z,2025-03-02T00:39:34.605900Z,3
5255145,2025-03-02T00:39:31.604078Z,2025-03-02T00:39:34.605620Z,3
5255184,2025-03-02T00:40:28.711388Z,2025-03-02T00:40:31.713362Z,3
5255193,2025-03-02T00:40:28.711216Z,2025-03-02T00:40:34.716812Z,6
5255194,2025-03-02T00:40:28.711715Z,2025-03-02T00:40:31.713613Z,3
5255202,2025-03-02T00:40:34.718898Z,2025-03-02T00:40:37.721406Z,3
5255208,2025-03-02T00:40:40.725358Z,2025-03-02T00:40:46.729619Z,6
5255213,2025-03-02T00:40:49.731034Z,2025-03-02T00:40:52.732765Z,3
5255221,2025-03-02T00:41:10.744238Z,2025-03-02T00:41:13.746145Z,3
5255231,2025-03-02T00:41:16.749183Z,2025-03-02T00:41:19.751206Z,3
5255232,2025-03-02T00:41:16.749755Z,2025-03-02T00:41:19.751979Z,3
5255235,2025-03-02T00:41:16.749341Z,2025-03-02T00:41:19.751489Z,3
5255239,2025-03-02T00:41:22.755366Z,2025-03-02T00:41:25.757483Z,3
5255242,2025-03-02T00:41:22.754512Z,2025-03-02T00:41:28.759021Z,6
5255245,2025-03-02T00:41:28.759227Z,2025-03-02T00:41:31.760690Z,3
5255250,2025-03-02T00:41:28.759889Z,2025-03-02T00:41:34.762051Z,6
5255253,2025-03-02T00:41:34.762376Z,2025-03-02T00:41:37.765218Z,3
5255264,2025-03-02T00:42:04.781157Z,2025-03-02T00:42:07.783081Z,3
