TxSeq,StratTime,EndTime,TimeUse(us)
1458820,2025-03-02T00:00:04.722041Z,2025-03-02T00:00:04.722061Z,20
1458821,2025-03-02T00:00:11.159184Z,2025-03-02T00:00:11.159211Z,27
1458822,2025-03-02T00:00:17.093485Z,2025-03-02T00:00:17.093492Z,7
1458823,2025-03-02T00:00:17.093438Z,2025-03-02T00:00:17.093467Z,29
1458824,2025-03-02T00:00:23.019140Z,2025-03-02T00:00:23.019147Z,7
1458825,2025-03-02T00:00:23.019098Z,2025-03-02T00:00:23.019123Z,25
1458826,2025-03-02T00:00:29.837593Z,2025-03-02T00:00:29.837619Z,26
1458827,2025-03-02T00:00:35.224447Z,2025-03-02T00:00:35.224454Z,7
1458828,2025-03-02T00:00:35.224402Z,2025-03-02T00:00:35.224428Z,26
1458829,2025-03-02T00:00:41.288556Z,2025-03-02T00:00:41.288563Z,7
1458830,2025-03-02T00:00:41.288573Z,2025-03-02T00:00:41.288578Z,5
1458831,2025-03-02T00:00:41.288586Z,2025-03-02T00:00:41.288591Z,5
1458832,2025-03-02T00:00:41.288599Z,2025-03-02T00:00:41.288604Z,5
1458833,2025-03-02T00:00:41.288520Z,2025-03-02T00:00:41.288540Z,20
1458834,2025-03-02T00:00:47.055396Z,2025-03-02T00:00:47.055417Z,21
1458835,2025-03-02T00:00:58.851045Z,2025-03-02T00:00:58.851067Z,22
1458836,2025-03-02T00:01:11.318183Z,2025-03-02T00:01:11.318209Z,26
1458837,2025-03-02T00:01:17.176207Z,2025-03-02T00:01:17.176213Z,6
1458838,2025-03-02T00:01:17.176222Z,2025-03-02T00:01:17.176227Z,5
1458839,2025-03-02T00:01:17.176167Z,2025-03-02T00:01:17.176186Z,19
1458840,2025-03-02T00:01:29.655589Z,2025-03-02T00:01:29.655596Z,7
1458841,2025-03-02T00:01:29.655606Z,2025-03-02T00:01:29.655611Z,5
1458842,2025-03-02T00:01:29.655620Z,2025-03-02T00:01:29.655625Z,5
1458843,2025-03-02T00:01:29.655544Z,2025-03-02T00:01:29.655570Z,26
1458844,2025-03-02T00:01:35.368562Z,2025-03-02T00:01:35.368592Z,30
1458845,2025-03-02T00:01:47.155531Z,2025-03-02T00:01:47.155564Z,33
1458846,2025-03-02T00:01:53.581929Z,2025-03-02T00:01:53.581960Z,31
1458847,2025-03-02T00:01:59.464174Z,2025-03-02T00:01:59.464211Z,37
1458848,2025-03-02T00:01:59.463969Z,2025-03-02T00:01:59.463988Z,19
1458849,2025-03-02T00:02:11.763454Z,2025-03-02T00:02:11.763461Z,7
1458850,2025-03-02T00:02:11.763416Z,2025-03-02T00:02:11.763437Z,21
1458851,2025-03-02T00:02:17.286855Z,2025-03-02T00:02:17.286862Z,7
1458852,2025-03-02T00:02:17.286871Z,2025-03-02T00:02:17.286876Z,5
1458853,2025-03-02T00:02:17.286884Z,2025-03-02T00:02:17.286889Z,5
1458854,2025-03-02T00:02:17.286897Z,2025-03-02T00:02:17.286902Z,5
1458855,2025-03-02T00:02:17.286814Z,2025-03-02T00:02:17.286837Z,23
1458856,2025-03-02T00:02:23.650601Z,2025-03-02T00:02:23.650628Z,27
