Timestamp,ScratchPad(us),ScratchPadRate,Loading(us),LoadingRate,PadMix(us),PadMixRate,Hit(us),HitRate
2025-03-02T00:00:05.495475Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:10.500410Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:15.536707Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:20.538648Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:25.550284Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:30.555756Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:35.561596Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:40.567542Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:45.574369Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:50.582535Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:00:55.610380Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:00.612053Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:05.612766Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:10.614801Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:15.620496Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:20.622374Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:25.624369Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:30.643887Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:35.863714Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:40.865399Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:45.870111Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:50.879489Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:01:55.891780Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:02:00.901849Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:02:05.906107Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:02:10.911102Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:02:15.912280Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:02:20.914611Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
2025-03-02T00:02:25.916452Z,14982624,0.00,14982624,0.00,894717907,0.00,168,0.00
