TxSeq,StratTime,EndTime,TimeUse(sec)
1000779,2025-03-02T00:42:44.381757Z,2025-03-02T00:43:38.619277Z,54
1008822,2025-03-02T01:05:49.378914Z,2025-03-02T01:05:52.593333Z,3
1069173,2025-03-02T07:26:54.726390Z,2025-03-02T21:32:24.636735Z,50729
1094761,2025-03-02T02:45:59.960164Z,2025-03-02T10:11:08.414570Z,26708
1127084,2025-03-02T00:09:18.157752Z,2025-03-02T19:00:25.386746Z,67867
1233443,2025-03-02T05:15:12.399579Z,2025-03-02T16:19:01.798960Z,39829
1238935,2025-03-02T02:23:04.022309Z,2025-03-02T20:27:37.849216Z,65073
1250667,2025-03-02T03:28:13.041475Z,2025-03-02T23:53:27.605169Z,73514
1444015,2025-03-02T04:53:33.109866Z,2025-03-02T04:53:37.447201Z,4
1458820,2025-03-02T00:00:12.379756Z,2025-03-02T00:00:15.459291Z,3
1458822,2025-03-02T00:00:22.515219Z,2025-03-02T00:00:22.538458Z,0
1458824,2025-03-02T00:00:29.971110Z,2025-03-02T17:25:02.008850Z,62672
1458825,2025-03-02T00:00:29.867509Z,2025-03-02T09:42:25.474885Z,34915
1458826,2025-03-02T00:00:33.077464Z,2025-03-02T00:00:36.140516Z,3
1458827,2025-03-02T00:00:42.959657Z,2025-03-02T00:00:49.151327Z,6
1458832,2025-03-02T00:00:46.099552Z,2025-03-02T00:00:52.223558Z,6
1458833,2025-03-02T00:00:46.105622Z,2025-03-02T00:00:49.193243Z,3
1458840,2025-03-02T00:01:32.100376Z,2025-03-02T00:01:35.178533Z,3
1458841,2025-03-02T00:01:32.079521Z,2025-03-02T00:01:35.173466Z,3
1458842,2025-03-02T00:01:32.129440Z,2025-03-02T00:01:35.192925Z,3
1458847,2025-03-02T00:02:02.775499Z,2025-03-02T00:26:21.816204Z,1459
1458853,2025-03-02T00:02:21.929754Z,2025-03-02T00:02:24.962538Z,3
1458859,2025-03-02T00:02:41.242107Z,2025-03-02T13:01:04.567855Z,46703
1458861,2025-03-02T00:02:47.370773Z,2025-03-02T20:44:12.470689Z,74485
1458864,2025-03-02T00:03:06.874657Z,2025-03-02T00:03:09.910578Z,3
1458870,2025-03-02T00:03:22.490462Z,2025-03-02T11:44:26.551382Z,42064
1458879,2025-03-02T00:04:10.321340Z,2025-03-02T00:04:13.475008Z,3
1458882,2025-03-02T00:04:13.483576Z,2025-03-02T00:04:16.522489Z,3
1458887,2025-03-02T00:04:35.843023Z,2025-03-02T00:04:41.995603Z,6
