TxSeq,StratTime,EndTime,TimeUse
5253263,2025-03-02T00:00:03.957938Z,2025-03-02T00:00:06.960350Z,3002412
5253264,2025-03-02T00:00:03.956594Z,2025-03-02T00:00:06.960069Z,3003475
5253266,2025-03-02T00:00:03.958788Z,2025-03-02T00:00:06.960587Z,3001799
5253271,2025-03-02T00:00:09.961749Z,2025-03-02T00:00:12.964714Z,3002965
5253298,2025-03-02T00:00:37.166727Z,2025-03-02T00:00:40.170097Z,3003370
5253315,2025-03-02T00:00:52.182736Z,2025-03-02T00:00:55.183880Z,3001144
5253320,2025-03-02T00:00:58.187386Z,2025-03-02T00:01:01.190525Z,3003139
5253325,2025-03-02T00:00:58.188192Z,2025-03-02T00:01:01.191083Z,3002891
5253326,2025-03-02T00:01:04.193480Z,2025-03-02T00:01:07.194965Z,3001485
5253331,2025-03-02T00:01:10.198415Z,2025-03-02T00:01:13.200468Z,3002053
5253332,2025-03-02T00:01:10.197695Z,2025-03-02T00:01:13.200163Z,3002468
5253335,2025-03-02T00:01:22.278533Z,2025-03-02T00:01:25.289158Z,3010625
5253343,2025-03-02T00:01:22.288191Z,2025-03-02T00:01:25.289442Z,3001251
5253346,2025-03-02T00:01:28.292695Z,2025-03-02T00:01:34.297503Z,6004808
5253361,2025-03-02T00:01:46.306476Z,2025-03-02T00:01:49.307648Z,3001172
5253365,2025-03-02T00:01:52.310776Z,2025-03-02T00:01:55.313174Z,3002398
5253368,2025-03-02T00:01:52.311310Z,2025-03-02T00:01:55.313446Z,3002136
5253369,2025-03-02T00:01:58.315276Z,2025-03-02T00:02:01.316912Z,3001636
5253370,2025-03-02T00:02:01.317153Z,2025-03-02T00:02:04.318299Z,3001146
